,product_sku,stock_code
0,GGOENEBQ079099,21421
1,GGOENEBQ079199,21422
2,GGOENEBQ084699,22178
3,GGOEGAEB091117,20749
4,GGOENEBB078899,21056
5,GGOENEBQ086799,21730
6,GGOEGAEQ027917,21871
7,GGOEGAXB089228,21071
8,GGOENEBJ079499,21068
9,GGOEGAEJ028116,22189
10,GGOEGDWQ087699,21364
11,GGOENEBQ078999,22219
12,GGOENEBQ092299,20966
13,GGOEGOAQ012899,22107
14,GGOEGOAR013099,22109
15,GGOEGDHJ087399,21181
16,GGOEGDHQ086199,21042
17,GGOEAKDH019899,22111
18,GGOEYAEJ092114,22271
19,GGOEGAPB087899,22272
20,GGOEWAAJ083516,22273
21,GGOEYAEJ092116,22274
22,GGOENEBD084799,20963
23,GGOENEBQ086499,21172
24,GGOEGDHC018299,21754
25,GGOEAFKA087599,21756
26,GGOEAFKQ020599,21481
27,GGOEGFKQ020399,22114
28,GGOEGOCJ093999,21955
29,GGOEGALJ073317,21733
30,GGOENEBQ093499,21790
31,GGOENEBQ093599,21889
32,GGOEGAEL091312,21915
33,GGOEGAEL091315,21272
34,GGOEGDHC087099,22149
35,GGOEGAEL091316,22044
36,GGOEGAEB091114,21918
37,GGOEAAEQ091616,21791
38,GGOENEBJ081899,22029
39,GGOEGAEC090713,22037
40,GGOEGAEH090613,21360
41,GGOEGAEL091313,22120
42,GGOEGAEH090617,21137
43,GGOEGAET090517,21356
44,GGOEYAEJ092117,21354
45,GGOEGBRJ037299,22179
46,GGOEGGCX056199,21125
47,GGOEYALQ091913,20893
48,GGOEAAEQ091613,21743
49,GGOEGAEH090615,20975
50,GGOEGAEC090715,21592
51,GGOEGAEB090914,22197
52,GGOEGAEH090614,22198
53,GGOEGAXB089230,21914
54,GGOENEBQ081599,21215
55,GGOEGAEB090915,21212
56,GGOEGAEJ028115,21977
57,GGOEAFKQ020499,21328
58,GGOEAAEQ091614,21058
59,GGOEGAEH090616,21060
60,GGOENEBQ086899,21061
61,GGOEGAET090515,21062
62,GGOEGAEC090717,21719
63,GGOEGALJ091014,21722
64,GGOEGDHH087299,21724
65,GGOEGDHR086999,21883
66,GGOEGDHT087199,21881
67,GGOEGAEB091112,21880
68,GGOEGAEB091113,10135
69,GGOEGAMC088199,21355
70,GGOEGALJ091015,21518
71,GGOEGAET090514,21520
72,GGOEGHPB071610,21506
73,GGOEGFKA086699,22023
74,GGOEYAEB091813,21519
75,GGOEWEBB082699,22030
76,GGOEGAEB091118,22027
77,GGOEGAEC090718,22028
78,GGOEAAEB091715,21670
79,GGOEAAEB091713,21669
80,GGOENEBQ081699,21671
81,GGOEAFKA087499,21673
82,GGOEGAXL089455,21672
83,GGOEGAXP089355,22245
84,GGOEWFKA082999,21069
85,GGOEGAEH090618,21070
86,GGOEGAXL089429,20914
87,GGOEAALB091514,21843
88,GGOEAAEQ091615,21588
89,GGOEGGCX056299,21584
90,GGOEWAAJ082816,21755
91,GGOEWFKA083199,21931
92,GGOEGAEB091115,21875
93,GGOEGAPL087999,21479
94,GGOEGAEH090612,21484
95,GGOEGAET090512,21485
96,GGOEGGCX056399,21217
97,GGOEGAEL091317,22301
98,GGOEGAUC057713,22086
99,GGOEGAUC057715,20674
100,GGOEGALL093214,20676
101,GGOEAALJ091413,20727
102,GGOEGAEB091116,21967
103,GGOEGAEL091318,22170
104,GGOEGAEC090714,21210
105,GGOEGAUC057714,21679
106,GGOEAAEB091716,22094
107,GGOEWFKA083299,21080
108,GGOEGOLC014299,21429
109,GGOEGBRJ037399,21428
110,GGOEGAXB089255,21877
111,GGOEYAEJ092113,21870
112,GGOEGAWH062049,21868
113,GGOEGALJ091013,22112
114,GGOEGOCC017599,22130
115,GGOEGAEC090716,20733
116,GGOENEBQ086599,16046
117,GGOEGAET090516,22196
118,GGOEGAWH062048,21154
119,GGOEYAEB091814,22195
120,GGOEGAUC057716,21326
121,GGOEYAEB091815,20878
122,GGOEYOCB092699,20967
123,GGOEGAEB090916,21098
124,GGOEAAEB091714,20992
125,GGOEGAEB090912,22113
126,GGOEGAWH062050,21430
127,GGOEGGOA017399,21313
128,GGOEGOCL087799,21108
129,GGOEGOCR017899,22090
130,GGOEGAEB090913,22071
131,GGOEGAXP089330,22070
132,GGOEAAEB091717,21216
133,GGOEGAXL089430,20983
134,GGOEGOAQ020099,20750
135,GGOEGAEC090712,21041
136,GGOEYAEJ092118,21537
137,GGOEAALB091513,21533
138,GGOEYAEB091816,21527
139,GGOEWALJ082713,21538
140,GGOEGAXB089229,22131
141,GGOEGAET090513,21163
142,GGOEAAEB091718,21158
143,GGOEWAAJ082815,21161
144,GGOEAALB091515,21159
145,GGOEAAEB091712,22212
146,GGOEYALQ091914,22188
147,GGOEYAEB091812,21390
148,GGOEYALQ091915,22297
149,GGOEYAXQ089529,22285
150,GGOEYAXQ089555,22284
151,GGOEGALL093216,21383
152,GGOEYAEB091818,21381
153,GGOEGAEL091314,21380
